asin,name,price,rating,review_count,url
B0B2RM68G2,Bio-Collagen Real Deep Mask (4ea),$19.00,4.5,34600,https://www.amazon.com/dp/B0B2RM68G2
B0B879FZBZ,Bio-Collagen Real Deep Mask (16ea),$62.00,4.5,34600,https://www.amazon.com/dp/B0B879FZBZ
B0FGJLJGFD,Rejuvenating Caviar PDRN Real Deep Mask (4ea),$19.00,4.5,34600,https://www.amazon.com/dp/B0FGJLJGFD
B0DDXV5KV4,Collagen Gel Toner Pads (60 Pads),$24.00,4.6,1561,https://www.amazon.com/dp/B0DDXV5KV4
B0FKSM8L9H,Pore Perfecting Collagen Peptide Serum,$21.90,4.6,680,https://www.amazon.com/dp/B0FKSM8L9H
B0FKT4PMV3,Pore Perfecting Collagen Peptide Cream,$29.00,4.6,468,https://www.amazon.com/dp/B0FKT4PMV3
B0CWGSP1WY,Hydro Cera-nol Real Deep Mask (4ea),$19.00,4.5,34600,https://www.amazon.com/dp/B0CWGSP1WY
B0D97Y5KLH,Best Mask Duo (Bio-Collagen & Ceramide),$35.99,4.8,258,https://www.amazon.com/dp/B0D97Y5KLH
B0GD6R7CFJ,Collagen Peptide Eye Patches (60 Count),$23.00,,0,https://www.amazon.com/dp/B0GD6R7CFJ
B0B2RN691M,Pore Perfecting Collagen Peptide Cream (50ml),$29.00,4.6,468,https://www.amazon.com/dp/B0B2RN691M
B0B2R4NMJF,Pore Tightening Clay Mask,$19.99,4.4,378,https://www.amazon.com/dp/B0B2R4NMJF
B0FKT34H9W,Pore Perfecting Collagen Peptide Serum (Set),$21.90,4.6,680,https://www.amazon.com/dp/B0FKT34H9W
B0FYNNVSRG,Special Bundle Set,$59.99,5.0,11,https://www.amazon.com/dp/B0FYNNVSRG
B0F1TSCGWN,Sea Kelp Real Deep Mask (4ea),$19.00,4.6,296,https://www.amazon.com/dp/B0F1TSCGWN
B0F1TRK8S1,Ceramide Panthenol Real Deep Mask (4ea),$21.00,4.6,209,https://www.amazon.com/dp/B0F1TRK8S1
B0FJRVSGQ2,Rejuvenating Caviar PDRN Real Deep Mask (8ea),$27.20,4.8,111,https://www.amazon.com/dp/B0FJRVSGQ2
B0B87938D2,Bio-Collagen Real Deep Mask (Single),$19.55,4.4,85,https://www.amazon.com/dp/B0B87938D2
B0GD6WQZVJ,Caviar PDRN Eye Patches (60 Count),$23.00,4.6,3,https://www.amazon.com/dp/B0GD6WQZVJ
B0FJS4CQZF,Hydro Cera-nol Real Deep Mask (8ea),$31.20,4.7,45,https://www.amazon.com/dp/B0FJS4CQZF
B0B2R7HGR8,Skin Calming Cleansing Gel,$18.70,4.4,119,https://www.amazon.com/dp/B0B2R7HGR8
B0G1LSN1DF,Complete Skincare Set,$47.99,5.0,8,https://www.amazon.com/dp/B0G1LSN1DF
B0FKLCB9PL,Luxury Holiday Duo (Caviar PDRN & Bio Collagen),$35.99,4.4,14,https://www.amazon.com/dp/B0FKLCB9PL
B0F1FRDQ89,Mask Bundle Set,$35.99,4.8,12,https://www.amazon.com/dp/B0F1FRDQ89
B0C5ZXG8V1,Ceramide Panthenol Real Deep Mask (4ea),$23.80,4.8,87,https://www.amazon.com/dp/B0C5ZXG8V1
B0CV4RHDTJ,Bio-Collagen Real Deep Mask (Single),$15.17,4.3,101,https://www.amazon.com/dp/B0CV4RHDTJ
B0F3NFJ51Z,Premium Bundle Set,$37.99,5.0,13,https://www.amazon.com/dp/B0F3NFJ51Z
B0F1FR7RQK,Mask Variety Pack,$35.99,3.7,4,https://www.amazon.com/dp/B0F1FR7RQK
B0DNMC6L7L,Collagen Peptide Set,$39.80,4.8,9,https://www.amazon.com/dp/B0DNMC6L7L
B0G1M15MB3,Trial Kit,$35.99,5.0,1,https://www.amazon.com/dp/B0G1M15MB3
B0G1M72Z6Q,Deluxe Set,$49.99,5.0,1,https://www.amazon.com/dp/B0G1M72Z6Q
B0FPGFDHS9,Duo Set,$38.50,5.0,8,https://www.amazon.com/dp/B0FPGFDHS9
B0G1M6HGBV,Starter Kit,$35.99,5.0,2,https://www.amazon.com/dp/B0G1M6HGBV
B0FPGDNSYZ,Premium Collection,$65.99,3.0,3,https://www.amazon.com/dp/B0FPGDNSYZ
B0DK88WNG7,Holiday Bundle,$46.50,4.7,4,https://www.amazon.com/dp/B0DK88WNG7
B0F1FNXG55,Complete Collection,$53.99,5.0,6,https://www.amazon.com/dp/B0F1FNXG55
B0GL7W9YPR,Collagen Anti-Aging Set,$39.90,,0,https://www.amazon.com/dp/B0GL7W9YPR
B0F5VVL91C,Luxury Bundle,$48.50,4.5,2,https://www.amazon.com/dp/B0F5VVL91C
B0GL82144T,Collagen Boosting Set,$42.60,,0,https://www.amazon.com/dp/B0GL82144T
B0DNMBSDD5,Special Edition Set,$42.50,5.0,1,https://www.amazon.com/dp/B0DNMBSDD5
B0CB9TGX77,Double Mask Set,$44.99,4.5,28,https://www.amazon.com/dp/B0CB9TGX77
B0F52KTVZY,Gift Set,$42.50,,0,https://www.amazon.com/dp/B0F52KTVZY
B0F5VW8MQB,Combo Pack,$42.50,5.0,2,https://www.amazon.com/dp/B0F5VW8MQB
B0FT2JCGLR,New Arrival Set,$44.99,,0,https://www.amazon.com/dp/B0FT2JCGLR
B0GL7SRYBD,Caviar PDRN Brightening Set,$39.90,,0,https://www.amazon.com/dp/B0GL7SRYBD
B0FKMJLNMM,Multi-Care Experience Kit,$69.99,4.9,12,https://www.amazon.com/dp/B0FKMJLNMM
